Record Time,1st trip from,1st trip to,1st trip cost,2nd trip from,2nd trip to,2nd trip cost,total cost
2022-05-28 15:12:37.375030,GRU,DTW,none,AMA,AND,none,flights/airport not found
2022-05-28 15:12:43.598261,GRU,DTW,none,AMA,AOO,none,flights/airport not found
2022-05-28 15:12:50.152336,GRU,DTW,none,AMA,APA,none,flights/airport not found
2022-05-28 15:12:51.897874,GRU,DTW,none,AMA,APF,none,flights/airport not found
2022-05-28 15:12:53.478615,GRU,DTW,none,AMA,APG,none,flights/airport not found
2022-05-28 15:12:59.894381,GRU,DTW,none,AMA,APN,none,flights/airport not found
2022-05-28 15:13:40.301083,GRU,DTW,2216.0,AMA,ARA,1920.0,"$1,919.17"
2022-05-28 15:13:46.502501,GRU,DTW,none,AMA,ART,none,flights/airport not found
2022-05-28 15:14:17.573903,GRU,DTW,1897.0,AMA,ASE,1897.0,"$1,896.22"
2022-05-28 15:14:23.840507,GRU,DTW,none,AMA,AST,none,flights/airport not found
2022-05-28 15:14:58.980399,GRU,DTW,3369.0,AMA,ATY,3369.0,"$3,368.52"
2022-05-28 15:15:31.326980,GRU,DTW,3383.0,AMA,AUG,3383.0,"$3,382.49"
2022-05-28 15:15:33.320749,GRU,DTW,none,AMA,AUW,none,flights/airport not found
2022-05-28 15:16:21.701361,GRU,DTW,1179.0,AMA,AVP,3307.0,"$3,306.62"
2022-05-28 15:16:23.790617,GRU,DTW,none,AMA,AXN,none,flights/airport not found
2022-05-28 15:16:29.618368,GRU,DTW,none,AMA,AZO,none,flights/airport not found
2022-05-28 15:16:31.551702,GRU,DTW,none,AMA,BAF,none,flights/airport not found
2022-05-28 15:17:06.426766,GRU,DTW,1487.0,AMA,BAK,1487.0,"$1,486.46"
2022-05-28 15:17:08.490671,GRU,DTW,none,AMA,BBD,none,flights/airport not found
2022-05-28 15:17:10.001794,GRU,DTW,none,AMA,BCE,none,flights/airport not found
2022-05-28 15:17:11.692349,GRU,DTW,none,AMA,BDE,none,flights/airport not found
2022-05-28 15:17:17.718989,GRU,DTW,none,AMA,BDR,none,flights/airport not found
2022-05-28 15:17:19.759257,GRU,DTW,none,AMA,BED,none,flights/airport not found
2022-05-28 15:17:53.066376,GRU,DTW,3213.0,AMA,BFD,3213.0,"$3,212.22"
2022-05-28 15:17:59.731840,GRU,DTW,none,AMA,BFF,none,flights/airport not found
2022-05-28 15:18:37.343529,GRU,DTW,1487.0,AMA,BFL,1487.0,"$1,486.46"
2022-05-28 15:18:39.198821,GRU,DTW,none,AMA,BFM,none,flights/airport not found
2022-05-28 15:18:46.148976,GRU,DTW,none,AMA,BGM,none,flights/airport not found
2022-05-28 15:19:18.321362,GRU,DTW,3413.0,AMA,BHB,3413.0,"$3,412.59"
2022-05-28 15:19:20.282979,GRU,DTW,none,AMA,BIF,none,flights/airport not found
2022-05-28 15:19:55.150277,GRU,DTW,1463.0,AMA,BIH,1463.0,"$1,462.59"
2022-05-28 15:20:31.626201,GRU,DTW,1464.0,AMA,BIS,1464.0,"$1,463.69"
2022-05-28 15:20:33.638454,GRU,DTW,none,AMA,BIX,none,flights/airport not found
2022-05-28 15:20:35.295936,GRU,DTW,none,AMA,BJC,none,flights/airport not found
2022-05-28 15:20:41.673030,GRU,DTW,none,AMA,BJI,none,flights/airport not found
2022-05-28 15:20:43.456301,GRU,DTW,none,AMA,BKE,none,flights/airport not found
2022-05-28 15:20:45.169356,GRU,DTW,none,AMA,BKF,none,flights/airport not found
2022-05-28 15:20:46.884765,GRU,DTW,none,AMA,BKL,none,flights/airport not found
2022-05-28 15:20:48.431465,GRU,DTW,none,AMA,BKW,none,flights/airport not found
2022-05-28 15:20:50.076281,GRU,DTW,none,AMA,BLF,none,flights/airport not found
2022-05-28 15:20:51.875862,GRU,DTW,none,AMA,BLH,none,flights/airport not found
2022-05-28 15:20:58.354079,GRU,DTW,none,AMA,BLI,none,flights/airport not found
2022-05-28 15:21:00.115880,GRU,DTW,none,AMA,BMG,none,flights/airport not found
2022-05-28 15:21:01.856426,GRU,DTW,none,AMA,BNO,none,flights/airport not found
2022-05-28 15:21:03.384165,GRU,DTW,none,AMA,BPI,none,flights/airport not found
2022-05-28 15:21:05.067174,GRU,DTW,none,AMA,BPK,none,flights/airport not found
2022-05-28 15:21:11.269012,GRU,DTW,none,AMA,BPT,none,flights/airport not found
